Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Dakshin,"Lotus Hotel, Opp Al Ghurair City",Dubai,N/A,04-2278888,N/A,N/A,/images/placeholder.png
Dalchini,N/A,Abu Dhabi,N/A,02-4917977,N/A,N/A,/images/placeholder.png
Dallas Restaurant,"Bin Suloom Bldg, Al Shaab Colony, Deira",Dubai,83171,04-2691178,N/A,N/A,/images/placeholder.png
Dar Al Mandi Restaurant Kitchen,"Near Al Safa Supermarket, Electra Street",Abu Dhabi,N/A,02-6330066,N/A,N/A,/images/placeholder.png
Dar Ward Restaurant,Al Ittihad Road,Sharjah,83874,06-5222411,N/A,N/A,/images/placeholder.png
Dasprakash Rest,"Near Day to Day, Karama",Dubai,111810,04-3965595,N/A,N/A,/images/placeholder.png
Day Fresh Restaurant,"Bhnd Al Moosa Tower, Satwa",Dubai,205,04-3289488,N/A,N/A,/images/placeholder.png
De La Costa,Saadiyat Island,Abu Dhabi,N/A,02-6563500,N/A,N/A,/images/placeholder.png
De Thali,Madinat Zayed,Abu Dhabi,N/A,02-6278644,N/A,N/A,/images/placeholder.png
Dean & Deluca,"Souk Al Bahar, Dubail Mall",Dubai,N/A,04-4200336,N/A,N/A,/images/placeholder.png
Deena Leena Restaurant,"Opp Concorde Cinema, Al Zahra St",Sharjah,28390,06-5617161,N/A,N/A,/images/placeholder.png
Delhi Cafeteria,Al Qasimia Street,Sharjah,N/A,06-5722828,N/A,N/A,/images/placeholder.png
Delhi Darbar Bombay Restaurant,"Naif Rd, Deira",Dubai,34496,04-2356161,N/A,N/A,/images/placeholder.png
Delhi Darbar Restaurant LLC,"Zabeel Rd, Karama",Dubai,34496,04-3347171,N/A,N/A,/images/placeholder.png
Delhi Karachi Restaurant,National Paints,Sharjah,N/A,06-5343470,N/A,N/A,/images/placeholder.png
Delhis deli,"Times Square Centre, Sh Zayed Rd",Dubai,N/A,04-3234844,N/A,N/A,/images/placeholder.png
Delicacy Sweets & Bakers LLC,"Shop 1, Al Nahda 2 building, Baghdad Street",Dubai,N/A,04-2568664,N/A,N/A,/images/placeholder.png
Delicia Restaurant LLC,"Mussafah 10, Sanayya",Abu Dhabi,N/A,02-5550071,N/A,N/A,/images/placeholder.png
Delight Calicut LLC,Oasis Center,Dubai,N/A,04-3466706,N/A,N/A,/images/placeholder.png
Delphine Restaurant & Bar,"The H Dubai, Shk Zayed Road",Dubai,N/A,04-5018623,N/A,N/A,/images/placeholder.png
Desi Max Restaurant & Sweets LLC,Near Etisalat Office,Dubai,N/A,80033747,N/A,N/A,/images/placeholder.png
Desl Hut Restaurant,"Behind Grand City Mall, Al Quoz Industrial Area 4",Dubai,N/A,04-3383283,N/A,N/A,/images/placeholder.png
Dhaba Restaurant,"Behind Sunrise Supermarket, Al Qusais",Dubai,47351,04-2611685,N/A,N/A,/images/placeholder.png
Dhe Chef,"Bhnd KM Trdg, Abu Shagara",Sharjah,N/A,06-5445060,N/A,N/A,/images/placeholder.png
Diamond City Restaurant LLC,Mussafah 10,Abu Dhabi,N/A,02-5553064,N/A,N/A,/images/placeholder.png
Dibba Bakes,Abu Shagara,Sharjah,N/A,06-5348066,N/A,N/A,/images/placeholder.png
Din Tai Fung,Mall Of The Emirates,Dubai,N/A,04-2651288,N/A,N/A,/images/placeholder.png
Dine At Moonvalley BBQ Restaurant,"18B Street, Behind NBF Bank, Bur Dubai",Dubai,11893,04-3966412,N/A,N/A,/images/placeholder.png
Diplomat Restaurant,"Bhnd Sharjah Water & Elec Dept Bldg, Mina Rd",Sharjah,2998,06-5696944,N/A,N/A,/images/placeholder.png
Diwan Al Badia,"Al Badia Golf Club, DFC",Dubai,N/A,04-7011128,N/A,N/A,/images/placeholder.png
Docklands,"Dhow Palace Hotel, Bur Dubai",Dubai,N/A,04-3599992,N/A,N/A,/images/placeholder.png
Dome Cafe,"Bin Soughat Centre, Rashidiya",Dubai,6774,04-2844498,N/A,N/A,/images/placeholder.png
Domino's Pizza,"Near Millenium Hotel, Corniche Rd",Sharjah,N/A,06-5569909,N/A,N/A,/images/placeholder.png
Doner Deli,Opposite Lulu Hypermarket,Dubai,N/A,800 6936637,N/A,N/A,/images/placeholder.png
Doner Force,"X2 Tower, Lake View, Cluster X",Dubai,N/A,80036723,N/A,N/A,/images/placeholder.png
Doner Kebab,"Ground Level, SIT Tower,",Dubai,N/A,04-3207767,N/A,N/A,/images/placeholder.png
Dosa Hut Restaurant,Al Manama Hyper Market,Fujairah,N/A,09-2233474,N/A,N/A,/images/placeholder.png
Dragon Bao Bao Cafeteria,"G-1, National Cinema Building, Hamdan Street, Al Markaziya",Abu Dhabi,N/A,02-6742235,N/A,N/A,/images/placeholder.png
Dukkan Falafel,N/A,Jebel Ali,N/A,04-8876220,N/A,N/A,/images/placeholder.png
Dumpling Queen Restaurant FZCO,Intl City,Dubai,39398,04-3674558,N/A,N/A,/images/placeholder.png
Dunes Cuisine,"Muhaisnah, Ghusais",Dubai,N/A,04-2540022,N/A,N/A,/images/placeholder.png
DUO,Jumeirah Beach Residence,Dubai,N/A,04-4233785,N/A,N/A,/images/placeholder.png
Dustys,DIFC,Dubai,N/A,04-3545435,N/A,N/A,/images/placeholder.png
DXB Grill,Millennium Airport Hotel,Dubai,N/A,04-7028888,N/A,N/A,/images/placeholder.png
Dynasty Chinese Restaurant,"Ramada Hotel, Bur Dubai",Dubai,N/A,04-3519999,N/A,N/A,/images/placeholder.png
E T Sushi,"Ground Floor, Jumeirah Emirates Tower Hotel, Sheikh Zyed Road",Dubai,72127,04-3198088,N/A,N/A,/images/placeholder.png
Eagle Restaurant,"Near Abu Hail Pharmacy, Hor Al Anz, Deira",Dubai,10349,04-2694997,N/A,N/A,/images/placeholder.png
Eastern Food Restaurant,Al Qusais,Dubai,235071,04-2671045,N/A,N/A,/images/placeholder.png
Eat & Treat Restaurant LLC,Ras Al Khor,Dubai,29417,04-3334275,N/A,N/A,/images/placeholder.png
Eat and Drink Group of Restaurants,"Khaleefa Bin Din Bldg, Near Bus Station, Satwa",Dubai,65892,04-3496003,N/A,N/A,/images/placeholder.png
Eat Greek,JBR,Dubai,N/A,04-4305249,N/A,N/A,/images/placeholder.png
Eat Max Cafeteria,"Behind Emax, Salim Bin Omar Street",Sharjah,N/A,06-5538706,N/A,N/A,/images/placeholder.png
Eat n Joy Restaurant & Cafeteria,"Behind BHS, Hamdan Street",Abu Dhabi,N/A,02-6322216,N/A,N/A,/images/placeholder.png
Eat Route,"Opposite Tasheel, King Abdul Azizi Street",Sharjah,N/A,06-5440676,N/A,N/A,/images/placeholder.png
Eataly,Dubai Mall,Dubai,N/A,04-3308899,N/A,N/A,/images/placeholder.png
Eclipse Bar,"Intercontinental Hotel, Dubai Festival City",Dubai,N/A,04-7011111,N/A,N/A,/images/placeholder.png
Elco Restaurants,"Shop 7, Al Arti Bldg, Zabeel Rd,",Dubai,115719,04-3972787,N/A,N/A,/images/placeholder.png
Eldorado Restaurant,Electra St,Abu Dhabi,N/A,02-6761848,N/A,N/A,/images/placeholder.png
Elevation Burger,"Latifa Tower, Near Crown Plaza, Shk Zayed Road",Dubai,N/A,04-3880000,N/A,N/A,/images/placeholder.png
Elia Greek Restaurant,"Majestic Hotel Tower, Bur Dubai",Dubai,N/A,04-3598888,N/A,N/A,/images/placeholder.png
Eloquent Elephant,"Taj Dubai, Business Bay",Dubai,N/A,04-4383100,N/A,N/A,/images/placeholder.png
Em Sherif,Downtown Dubai,Dubai,N/A,04-4243000,N/A,N/A,/images/placeholder.png
Ember,"Dubai Mall, Downtown Dubai",Dubai,N/A,04-4388999,N/A,N/A,/images/placeholder.png
Emirates Restaurant,"Near Alico Aluminium Co, BMW Rd, Indl Area 2",Sharjah,36247,06-5338200,N/A,N/A,/images/placeholder.png
Emly Chilli,Al Nahda 1,Dubai,N/A,04-2837474,N/A,N/A,/images/placeholder.png
Entrecote - Al Khaleej Palace Hotel,"Near Etisalat, Maktoum St, Deira",Dubai,3720,04-2231000,N/A,N/A,/images/placeholder.png
Epicure,"Deser Palm Hotel, Al Awir Road",Dubai,N/A,04-3238888,N/A,N/A,/images/placeholder.png
Ethio Habasha Restaurant,Muroor Rd,Abu Dhabi,N/A,02-4436013,N/A,N/A,/images/placeholder.png
Everest Restaurant,Al Esbij Street,Dubai,N/A,04-3550707,N/A,N/A,/images/placeholder.png
Exotic Restaurant,Karama,Dubai,123375,04-3965557,N/A,N/A,/images/placeholder.png
Exzotica Restaurant,"Near Lotus Boutique Hotel, Al Baraha, Deira",Dubai,20058,04-2719196,N/A,N/A,/images/placeholder.png
Faaz Al Majaz Restaurant & Cafeteria,"Behind City Max Hotel, Near Big Bazar Hypermarket",Sharjah,N/A,06-5220096,N/A,N/A,/images/placeholder.png
Fahid Restaurent,N/A,Dubai,N/A,04-2260871,N/A,N/A,/images/placeholder.png
Fairways International,"The Westin Abu Dhabi Golf Resort & Spa, Khalifa City",Abu Dhabi,N/A,02-6169999,N/A,N/A,/images/placeholder.png
Falafel and Shawarma Cafe,"Opp Centrepoint, Karama",Dubai,N/A,04-3968301,N/A,N/A,/images/placeholder.png
Falafel Express Restaurant,Dubai Marina,Dubai,N/A,04-4257711,N/A,N/A,/images/placeholder.png
Falafel Zaman,"Behind Ramada Hotel, Al Barsha",Dubai,N/A,04-4226131,N/A,N/A,/images/placeholder.png
Falla Juice & Snacks,"Jumeirah St, Umm Suqeim 2",Dubai,N/A,800-32552,N/A,N/A,/images/placeholder.png
Family Palace Restaurant LLC,"Opp Oasis Water, National Paints R/A, Kalba Rd",Sharjah,95368,06-5358335,N/A,N/A,/images/placeholder.png
Famous Dave's,"Level 3, Abu Dhabi Mall",Abu Dhabi,N/A,02-6587863,N/A,N/A,/images/placeholder.png
Fanr Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-6575888,N/A,N/A,/images/placeholder.png
Fantastic Fresh Food Trading LLC,Hor Al Anz,Dubai,24269,04-2339114,N/A,N/A,/images/placeholder.png
Fantastico Cafe LLC,"Mazaya Centre, Sh Zayed Rd",Dubai,114820,04-3434214,N/A,N/A,/images/placeholder.png
Fantasy Restaurant,Deira,Dubai,29134,04-2688288,N/A,N/A,/images/placeholder.png
Faragalla Cafe,Oud Metha Road,Dubai,N/A,056-4334701,N/A,N/A,/images/placeholder.png
Fareehan Refreshment,"Behind KM Trading, Salam Street",Abu Dhabi,N/A,02-6774447,N/A,N/A,/images/placeholder.png
Farhat Restaurant,Al Qasimiah,Sharjah,29373,06-5669660,N/A,N/A,/images/placeholder.png
Fatah Sanobir Restaurant,"203, Dar Al Wuhaida building, Hor Al Anz, Deira",Dubai,50715,04-2692334,N/A,N/A,/images/placeholder.png
FatBurger,"Ground Floor, Mall of the Emirates",Dubai,N/A,04-3477913,N/A,N/A,/images/placeholder.png
Fathima Trading and Catering Co,"Near ADCB, Airport Rd",Abu Dhabi,4710,02-4433490,N/A,N/A,/images/placeholder.png
Fatima House Restaurant,"Al Musalla Rd, Deira",Dubai,45763,04-3976720,N/A,N/A,/images/placeholder.png
Feast,"Sheraton Grand Hotel, Shk Zayed Road",Dubai,N/A,04-5034444,N/A,N/A,/images/placeholder.png
Feri Kasif Theroom Restaurant,"Diamond 4 Bldg, Near Marina Mall, Dubai Marina",Dubai,N/A,04-4572919,N/A,N/A,/images/placeholder.png
Fibber Magee's,"Bhnd Saeed Tower 1, Sh Zayed Rd",Dubai,115944,04-3322400,N/A,N/A,/images/placeholder.png
Fiesta Restaurant,"Bhnd NMC Hospital, Al Nahda 2",Dubai,N/A,04-2206444,N/A,N/A,/images/placeholder.png
Filini,Radisson Blu Hotel,Abu Dhabi,N/A,02-6562000,N/A,N/A,/images/placeholder.png
Filli,Al Mamzar Corniche,Dubai,N/A,04-2387169,N/A,N/A,/images/placeholder.png
Finz,"Beach Rotana, Al Zahiyah",Abu Dhabi,N/A,02-6979350,N/A,N/A,/images/placeholder.png
Firebird Dinner,"Four Seasons Hotel, DIFC",Dubai,N/A,04-5060000,N/A,N/A,/images/placeholder.png
Fish Dubai,"Le Meridian, Mina Seyahi",Dubai,N/A,04-5117139,N/A,N/A,/images/placeholder.png
Fish Market Restaurant,Al Wahda St,Sharjah,N/A,06-5397667,N/A,N/A,/images/placeholder.png
"Fish N Chips Room, The","Murjan Tower, Jumeirah Beach Res",Dubai,66413,04-4270443,N/A,N/A,/images/placeholder.png
Fish World,"3rd Flr, Food Court, Burjuman Centre, Bur Dubai",Dubai,26570,04-3514774,N/A,N/A,/images/placeholder.png
Fishmarket - Inter-Continental Abu Dhabi,"Hotel Intercontinental Abu Dhabi, Khalidya",Abu Dhabi,4171,02-6666888,N/A,N/A,/images/placeholder.png
Five Guys Burger,Dubai Mall,Dubai,N/A,04-3804117,N/A,N/A,/images/placeholder.png
Flame & Bake,Next To Hollywood Magic,Abu Dhabi,N/A,600565564,N/A,N/A,/images/placeholder.png
Flavours - Sheraton,"Near Corniche Hospital, Corniche Rd",Abu Dhabi,640,02-6773333,N/A,N/A,/images/placeholder.png
Flavours On Two,"Towers Rotana, Shk Zayed Road",Dubai,N/A,04-3438000,N/A,N/A,/images/placeholder.png
Flooka,Dubai Marine Beach Resort,Dubai,N/A,04-3461111,N/A,N/A,/images/placeholder.png
Food & Life Global Flavours,Bur Dubai,Dubai,116357,04-3599775,N/A,N/A,/images/placeholder.png
Food City Restaurant LLC,Al Muroor,Abu Dhabi,109770,02-4488640,N/A,N/A,/images/placeholder.png
Food Mountain Restaurant,"Behind Adnoc Petrol Station, Najda Street",Abu Dhabi,N/A,056-2090767,N/A,N/A,/images/placeholder.png
Food Palace Restaurant,Khalifa Str,Abu Dhabi,105912,02-6270080,N/A,N/A,/images/placeholder.png
Food Park City Restaurant,Al Nahda,Sharjah,N/A,06-5544757,N/A,N/A,/images/placeholder.png
Food Village Restaurant LLC,"Amman St, Al nahda 1",Dubai,237882,04-2398502,N/A,N/A,/images/placeholder.png
Foodlands Restaurant LLC,Airport Rd,Abu Dhabi,200,02-6330099,N/A,N/A,/images/placeholder.png
Fort Kochi Restaurant,Next To EPPCO Petrol Station,Dubai,N/A,04-2575020,N/A,N/A,/images/placeholder.png
Fountain Cafe Restaurant,Shk Zayed Rd,Dubai,36853,04-3311502,N/A,N/A,/images/placeholder.png
Four Friends Restaurants,"Opp ADCB, Meena Rd",Sharjah,70886,06-5628121,N/A,N/A,/images/placeholder.png
Four Season Restaurant,Al Barsha,Dubai,N/A,04-3255444,N/A,N/A,/images/placeholder.png
Francesco Pizzeria Restaurant,"G Flr, Al Khaleej Centre, Bur Dubai",Dubai,43383,04-3522766,N/A,N/A,/images/placeholder.png
Frankies Italian Restaurant & Grill,Farimont Bab Al Bahr,Abu Dhabi,N/A,02-6543333,N/A,N/A,/images/placeholder.png
Fresh & Easy (The Barakat Shop),"Jumeirah Road, Opposite City Bank",Dubai,N/A,04-2272528,N/A,N/A,/images/placeholder.png
Fresh & More Cafeteria & Grill,Khalifa 11,Abu Dhabi,N/A,02-5521199,N/A,N/A,/images/placeholder.png
Friday's,N/A,Dubai,N/A,600-523334,N/A,N/A,/images/placeholder.png
Frutti Juice,Near Lighthouse Community Psychological Clinic,Dubai,N/A,04-3284371,N/A,N/A,/images/placeholder.png
Fusion Caffe LLC,N/A,Abu Dhabi,62920,02-4058678,N/A,N/A,/images/placeholder.png
Fusion of Flavors Restaurant,"Damascus St, Al Qusais",Dubai,N/A,04-2678056,N/A,N/A,/images/placeholder.png
Futue Stra Restaurant & Cafeteria,Al Nahda 1,Dubai,96703,04-2676986,N/A,N/A,/images/placeholder.png
Future Star Restaurant,"Opp Buhari Masjid, Bhnd NMC , Al Nahda 1",Dubai,96703,04-2676986,N/A,N/A,/images/placeholder.png
GAD Group Of Restaurants,TCA,Abu Dhabi,N/A,02-6451699,N/A,N/A,/images/placeholder.png
Gafoorkas Thattukada Restaurant,"Opp Lulu Village, Near Emarat Petrol Station, Muhaisnah",Dubai,N/A,04-2511713,N/A,N/A,/images/placeholder.png
Galito's,"E 278-279 - 2nd Floor Extension, Al Wahda Mall",Abu Dhabi,N/A,02-6438221,N/A,N/A,/images/placeholder.png
Garden Side Refreshments,Behind Al Salama Hospital,Abu Dhabi,N/A,02-6763626,N/A,N/A,/images/placeholder.png
Gate of Karama Restaurant,Karama,Dubai,6319,04-3374222,N/A,N/A,/images/placeholder.png
Gazebo Restaurant,DIFC,Dubai,281066,04-3585550,N/A,N/A,/images/placeholder.png
Geddy,Barsha,Dubai,N/A,N/A,N/A,N/A,/images/placeholder.png
Generous Vistors Restaurent,"Naif Rd, Deira",Dubai,N/A,04-2712262,N/A,N/A,/images/placeholder.png
Genghis Grill,"Level 2, Al Wahda Mall Extension",Abu Dhabi,33779,02-6156039,N/A,N/A,/images/placeholder.png
Ghoroob Al Shams Restaurant,Al Nahda 2,Dubai,N/A,04-2206868,N/A,N/A,/images/placeholder.png
Ghuloom Shahdad Restaurant,Bur Dubai,Dubai,N/A,04-3935186,N/A,N/A,/images/placeholder.png
Gillys Restaurant,Behind Fresh & More Supermarket,Abu Dhabi,N/A,02-6712050,N/A,N/A,/images/placeholder.png
Ginny's Restaurant and Confectionery,"9, Al Zara Bldg, Khalid Bin Walid St, Bur Dubai",Dubai,51043,04-3931876,N/A,N/A,/images/placeholder.png
Giornotte,"Ritz Carlton, Al Maqta",Abu Dhabi,N/A,02-8188888,N/A,N/A,/images/placeholder.png
Go Thai,"Talal Belhoul Building, Opp NMC Hosp, Bhnd Sahara Centre, Al Nahda",Dubai,20199,04-2506111,N/A,N/A,/images/placeholder.png
Goa Coastal Curries,"Near Dubai Islamic Bank, Karama",Dubai,N/A,04-3795238,N/A,N/A,/images/placeholder.png
Golden Burger Restaurant and Internet Cafe,"Abraj Centre, Sabakha Bus Stand, Deira",Dubai,11311,04-2277941,N/A,N/A,/images/placeholder.png
Golden Chariot Confectionery,"Near Grand Hotel, Al Qusais",Dubai,48300,04-2582050,N/A,N/A,/images/placeholder.png
Golden Crown Restaurant,Hamdan St,Abu Dhabi,73145,02-6772828,N/A,N/A,/images/placeholder.png
Golden Dragon Restaurant,"Trade Centre Road, Karama",Dubai,2044,04-3967788,N/A,N/A,/images/placeholder.png
Golden Fork Group,"Al Owasis Bldg, Al Rigga Rd",Dubai,13951,04-2239233,N/A,N/A,/images/placeholder.png
Golden Jabal Al Noor Fast Food LLC,"Near Canadian Hosp, Mamzar Centre",Dubai,N/A,04-2692979,N/A,N/A,/images/placeholder.png
Golden Palace Mandi Restaurant,"Bhnd NMC Hosp, Al Nahda 2",Dubai,192078,04-2380049,N/A,N/A,/images/placeholder.png
Golden Seashell LLC,Satwa,Dubai,N/A,04-3989920,N/A,N/A,/images/placeholder.png
Golden Spoon Vegetarian Restaurant,Madinat Zayed,Abu Dhabi,43750,02-6337155,N/A,N/A,/images/placeholder.png
Golestan Restaurant,Deira,Dubai,65653,04-2828007,N/A,N/A,/images/placeholder.png
Govindas Garden Restaurant LLC,"Beach Road, Jumeirah",Dubai,30985,04-3211884,N/A,N/A,/images/placeholder.png
Govindas Restaurant (LLC),Karama,Dubai,30985,04-3960088,N/A,N/A,/images/placeholder.png
Grand Abu Shakra Rest and Cafe,"Al Maktoum St, Deira",Dubai,119943,04-2229900,N/A,N/A,/images/placeholder.png
"Grand Buffet Restaurant, The",Al Wahda St,Sharjah,4561,06-5328000,N/A,N/A,/images/placeholder.png
Grand Cafe Boulevard,Downtown,Dubai,N/A,04-4579944,N/A,N/A,/images/placeholder.png
Grand Central Restaurant,Muroor Street,Abu Dhabi,N/A,02-6426499,N/A,N/A,/images/placeholder.png
Grand Restaurant,N/A,Sharjah,N/A,06-5652080,N/A,N/A,/images/placeholder.png
Grecian Grill Restaurant,N/A,Dubai,500003,04-5531335,N/A,N/A,/images/placeholder.png
Green Chillies Restaurant,Discovery Gardens,Dubai,N/A,04-4456789,N/A,N/A,/images/placeholder.png
Green Lagoon Restaurant,"Opp Citymax, Barsha 1",Dubai,N/A,04-3792440,N/A,N/A,/images/placeholder.png
Green Leaf International Restaurant,"Al Noor Building, Behind Sahara Center",Dubai,N/A,04-2560066,N/A,N/A,/images/placeholder.png
Green Leaf Restaurant,"Behind Emirates NBD, Near Colours Hyper Market",Abu Dhabi,N/A,02-3048155,N/A,N/A,/images/placeholder.png
Green Leaves Restaurant,Discovery Garden,Dubai,N/A,04-8877866,N/A,N/A,/images/placeholder.png
Green Pepper Restaurant,"Opp Enoc Staff Accomodation, Al Quoz Indl Area 2",Dubai,N/A,04-3416003,N/A,N/A,/images/placeholder.png
Green Place Restaurent,Karama,Dubai,N/A,04-3967909,N/A,N/A,/images/placeholder.png
Green Sea Hotel,Deira,Dubai,87565,04-2255518,N/A,N/A,/images/placeholder.png
Green Valley Cafeteria and Restaurant,"Opp Central Bank, Kalba Rd",Fujairah,1875,09-2224929,N/A,N/A,/images/placeholder.png
Grill O,Dubai Silicon Oasis,Dubai,N/A,04-3255990,N/A,N/A,/images/placeholder.png
Gulf Coast RVs,"Near The Infiniti Center, Sh Zayed Rd",Dubai,643982,04-3805454,N/A,N/A,/images/placeholder.png
Gulf Light Cafeteria,"Bhnd Aramex, Abu Shagara",Sharjah,N/A,06-5599747,N/A,N/A,/images/placeholder.png
Gulf Pastry,Al Satwa,Dubai,N/A,04-3323339,N/A,N/A,/images/placeholder.png
Habtoor Grand Resort and Spa,"Near Royal Le Meridien, I/Change 5, Jumeirah Beach",Dubai,24454,04-3995000,N/A,N/A,/images/placeholder.png
Haddad Hydrabad Restaurent,"Ground Floor, Buldg#5, Damascus Road, Al Qusais",Dubai,N/A,04-2635926,N/A,N/A,/images/placeholder.png
Hafidh Mohd Restaurent,N/A,Dubai,N/A,04-2682617,N/A,N/A,/images/placeholder.png
Haji Ali Star Cafe,Al Nahda 2,Dubai,N/A,04-2207799,N/A,N/A,/images/placeholder.png
Haji Sahab Restaurant,"1 B, Discovery Gardens",Dubai,N/A,04-4279602,N/A,N/A,/images/placeholder.png
Hanoi,Khalifa St,Abu Dhabi,N/A,02-6261112,N/A,N/A,/images/placeholder.png
Hapi Cafe,Al Quoz,Dubai,N/A,04-2251807,N/A,N/A,/images/placeholder.png
Happy Malabar Cafe & Restaurant,"Near Karachi Darbar, Satwa",Dubai,N/A,04-3234322,N/A,N/A,/images/placeholder.png
Haram Restaurant,Near Satwa Bus Stand,Dubai,N/A,04-3317799,N/A,N/A,/images/placeholder.png
Hard Walls,Corniche Rd,Abu Dhabi,43695,02-6814200,N/A,N/A,/images/placeholder.png
Hari Restaurant,"Opp Liberty S/Room, New Double Cola Rd",Sharjah,28650,06-5338414,N/A,N/A,/images/placeholder.png
Haseen Rest and Mini Market,"R/A 8, Jebel Ali Free Zone",Jebel Ali,2316,04-8839944,N/A,N/A,/images/placeholder.png
Haseen Restaurant,Jebel Ali Free Zone,Dubai,N/A,04-8839955,N/A,N/A,/images/placeholder.png
Hatam Al Taai Restaurant,"Baniyas Sq, Opp Kuwaiti S/M, Deira",Dubai,1026,04-2247776,N/A,N/A,/images/placeholder.png
Hatta Fort Hotel,"Oman-Hatta Main Highway, Resort Area",Dubai,9277,04-8523211,N/A,N/A,/images/placeholder.png
Haunters Room & Grill,"Western Mina Seyahi, Al Soufouh Rd, Dubai Marina",Dubai,N/A,04-3994141,N/A,N/A,/images/placeholder.png
Havana Group,Hamdan Street,Abu Dhabi,33066,02-6724400,N/A,N/A,/images/placeholder.png
Hayat Sweets,"Near Russian Embassy, Hamdan Street",Abu Dhabi,N/A,02-6661590,N/A,N/A,/images/placeholder.png
Hayath Restaurant,Dibba,Fujairah,11401,09-2443282,N/A,N/A,/images/placeholder.png
Heroes Restaurant,Crown Plaza,Abu Dhabi,N/A,02-6166132,N/A,N/A,/images/placeholder.png
Hiccup,"Fotouh Al Khair Centre, Al Markaziyah",Abu Dhabi,N/A,02-6315111,N/A,N/A,/images/placeholder.png
Himalaya Restaurent,Deria -Naif Road,Dubai,N/A,04-2252293,N/A,N/A,/images/placeholder.png
Hobaita Restaurent,"Naif Rd, Deira",Dubai,N/A,04-2223749,N/A,N/A,/images/placeholder.png
Home Foods Restaurant,"Karama Centre, Opp Dubai Municipality, Karama",Dubai,165,04-3979910,N/A,N/A,/images/placeholder.png
Hot Burger Restaurant,"Near Abu Shagara Park, Abu Shagara",Sharjah,N/A,06-5557800,N/A,N/A,/images/placeholder.png
Hot Food Restaurant & Catering,Mussafah 11,Abu Dhabi,N/A,02-5520500,N/A,N/A,/images/placeholder.png
Hum Yum Restaurant,"Lighthouse Community Psychological Clinic, Jumeira Beach Road",Dubai,N/A,04-3883332,N/A,N/A,/images/placeholder.png
Humpty Dumpty Restaurant LLC,"Opp Burjuman Business Towers, Near FNS Cafe, Karama",Dubai,N/A,04-3995786,N/A,N/A,/images/placeholder.png
Hyderabad Star Restaurant,"Near Etisalat, Electra Street",Abu Dhabi,35004,02-6352622,N/A,N/A,/images/placeholder.png
Hyson Restaurent,Satwa,Dubai,N/A,04-3291100,N/A,N/A,/images/placeholder.png
Hyu Korean Restaurant,Oud Metha,Dubai,N/A,04-3344294,N/A,N/A,/images/placeholder.png
Ibn Al Badiya Restaurant,N/A,Abu Dhabi,N/A,02-6414478,N/A,N/A,/images/placeholder.png
Ibn Hamido Seafood Restaurant,Al Barsha,Dubai,N/A,04-3958599,N/A,N/A,/images/placeholder.png
Ice & Spice,"Near Sunrise Supermarket, Karama",Dubai,N/A,04-3355922,N/A,N/A,/images/placeholder.png
Icon Bar,"Raddison Blue Hotel, Media City",Dubai,N/A,04-3669111,N/A,N/A,/images/placeholder.png
Imperial Dragon Restaurant,"Imperial Suite Hotel Apts, Al Rolla Rd, Bur Dubai",Dubai,26913,04-3552028,N/A,N/A,/images/placeholder.png
Inakaya,Khor Al Maqta,Abu Dhabi,N/A,02-4041921,N/A,N/A,/images/placeholder.png
Index Hotel,"G Flr, Zarwani Bldg, Sabakha Rd, Deira",Dubai,40994,04-2291555,N/A,N/A,/images/placeholder.png
India House Restaurant,"Bhnd Mashreqbank, Opp Immigration Office, Immigration Rd",Sharjah,38423,06-5738880,N/A,N/A,/images/placeholder.png
India Palace Authentic Indian Cuisine,Safeer Mall,Sharjah,N/A,06-5374331,N/A,N/A,/images/placeholder.png
India Palace Restaurant,Garhoud,Dubai,26016,04-2869600,N/A,N/A,/images/placeholder.png
Indian By Nature Vegetarian Restaurant,"Near National Hospital, Najda Street",Abu Dhabi,N/A,02-6677898,N/A,N/A,/images/placeholder.png
Indigo Restaurant,"Beach Rotana, Al Zahiyah",Abu Dhabi,N/A,02-6979334,N/A,N/A,/images/placeholder.png
Intercat Trading Company LLC,Karama,Dubai,52044,04-3345212,N/A,N/A,/images/placeholder.png
Iqbal Restaurant,Hamdan St,Abu Dhabi,46695,02-6727224,N/A,N/A,/images/placeholder.png
Iran Zamin Restaurant,"Sheikh Mohammed Bin Boulevard Centre, Downtown",Dubai,42317,04-4476655,N/A,N/A,/images/placeholder.png
Irish Village,Garhoud,Dubai,N/A,04-2824750,N/A,N/A,/images/placeholder.png
Isfahan Night Restaurant,Old Airport Rd,Abu Dhabi,32890,02-4466122,N/A,N/A,/images/placeholder.png
Isfahan Restaurant,"Near Sharjah Cinema, Mina St",Sharjah,4441,06-5697727,N/A,N/A,/images/placeholder.png
Istanboul Flower Restaurant & Cafeteria,Shk Zayed Rd,Dubai,72730,04-3434585,N/A,N/A,/images/placeholder.png
Istanbouli Restaurant,N/A,Abu Dhabi,N/A,02-6212557,N/A,N/A,/images/placeholder.png
Istanbul Flower Restaurant and Cafeteria,"64, Food Court, Al Razi Bldg, DHCC",Dubai,72730,04-4495330,N/A,N/A,/images/placeholder.png
